ह्स्तयोः प्रयोगे
अष्टादशः अध्यायोऽपि
वर्तते बीजगणितस्य
विषये रैखिकगणितस्य
विषये वर्गसमीकरणविषये
समाधानं प्रदत्तम्
अस्ति अस्मिन्
पदविज्ञाने वाक्यरचनाविषयको
विचारः प्रस्तूयते
वाक्यानां भेदाश्चाधीयन्ते
अस्मिन् परिवारे
विद्यमानाः अन्याः
भाषाः हिन्दी
नेपाली पञ्जाबी
गुजराती असमीया
ओडिया मैथिली
इत्यादयः अस्मिन्
परिसरे स्थितं
लक्ष्मणमन्दिरम् उन्नतस्तरस्य
मन्दिरम् अस्ति
अस्मिन् पर्वणि
सर्वे भारतीयाः
एकीभूय गृह्णन्ति
अस्मिन् पर्वते
गोमुखं हनुमद्धारा
दामोदरकुण्डं रेवती
इत्यादीनि पवित्रकुण्डानि
सन्ति अस्मिन्
पाण्डववंशस्य वत्सराजस्य
पुत्रस्य नरवाहनदत्तस्य
चरित्रं वर्णितम्
अस्ति अस्मिन्
पुष्पाणि अधिकानि
विकसन्ति किन्तु
निर्गन्धानि भवन्ति
अस्मिन् पुस्तकालये
पञ्चलक्षाऽधिकानि पुस्तकानि
सन्ति अस्मिन्
प्रकारे प्रसिद्धाः
भारतीयाः गायकाः
जगजीत् सिंहः
पङ्कज् उदास्
इत्यादयः अस्मिन्
प्रकारे स्थायी
अन्तरा सञ्चारी
आभोगादयः सोपानानि
सन्ति अस्मिन्
प्रदेशे मृगया
अरण्योत्पन्नस्य सङ्ग्रहः
सम्पूर्णं निषिद्धः
अस्मिन् प्रदेशे
श्वेतचायस्य कृषिः
लाक्षणिकरूपेण वर्धमाना
अस्ति अस्मिन्
प्रभेदद्वये रामायणमहाभारतरघुवंशादिकं
प्रथमे प्रभेदे
अन्तर्भवति अस्मिन्
प्रसङ्गे लक्षाधिकाः
श्रद्धालवः समुपस्थिताः
अस्मिन् सभागृहम्
अस्ति अस्मिन्
भित्तिषु सुन्दराणि
दर्पणानि सन्ति
अस्मिन् प्रमाणेन
वृष्टिः अस्मिन्
मण्डले अस्मिन्
मण्डले गृहेषु
गृहाणि क्षतिग्रस्ता
अभवन् अस्मिन्
मण्डले गृहेषु
परिमितानि गृहाणि
क्षतिग्रस्ता अभवन्
अस्मिन् मण्डले
अस्मिन् मण्डले
अङ्किनीलेखफलकानां व्यापारः
अस्मिन् मण्डले
अनेकानि जैनमन्दिराणि
सन्ति अस्मिन्
मण्डले अनेके
जलबन्धाः सन्ति
अस्मिन् मण्डले
उत्तमाः शैक्षणिकसंस्थाः
सन्ति अस्मिन्
मण्डले कार्पासः
कदलीफलं कूष्माण्डः
अधिकतया उत्पाद्यते
अस्मिन् मण्डले
क्षिप्रानदी प्रवहति
अस्मिन् मण्डले
चतुरस्रकिलोमीटर्मिते क्षेत्रे
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले चतुरस्रकिलोमीटर्मिते
क्षेत्रे वसन्ति
अर्थात् मण्डलस्य
जनसङ्ख्यासान्द्रता प्रतिचतुरस्रकिलोमीटर्
अस्मिन् मण्डले
चतुरस्रकिलोमीटर्मिते क्षेत्रे
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले चतुरस्रकिलोमीटर्मिते
क्षेत्रे वसन्ति
अर्थात् मण्डलस्य
जनसङ्ख्यासान्द्रता प्रतिचतुरस्रकिलोमीटर्
अस्मिन् मण्डले
चम्बल इत्येषा
प्रवहति अस्मिन्
मण्डले चम्बलनदी
प्रवहति अस्मिन्
मण्डले प्रमुखनद्यौ
अस्मिन् मण्डले
उपमण्डलानि सन्ति
अस्मिन् मण्डले
स्त्री अनुपातः
अस्ति साक्षरताप्रमाणं
अस्मिन् मण्डले
प्रति चकिमी
निवसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रति चकिमी
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
वसन्ति अर्थात्
मण्डलस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
मण्डले प्रतिचतुरस्रकिलोमीटर्मिते
क्षेत्रे निवसन्ति
अर्थात् मण्डलस्य
जनसङ्ख्यासान्द्रता प्रतिचतुरस्रकिलोमीटर्
अस्मिन् मण्डले
भाटकयानानि प्रचलन्ति
अस्मिन् मण्डले
इत्येषा प्रवहति
अस्मिन् मण्डले
मुख्यनदी गोदावरीनदी
अस्ति अस्मिन्
मण्डले मृगाः
प्राप्यन्ते अस्मिन्
मण्डले लोहित
प्रवहति अस्मिन्
मण्डले वेणगङ्गानदी
प्रवहति अस्मिन्
मण्डले नद्यः
प्रवहन्ति अस्मिन्
मण्डले बाणगङ्गा
इत्येते नद्यौ
प्रवहतः अस्मिन्
मन्दिरे नगरवासिनः
कृष्णजन्माष्टमीमहोत्सवे श्रीकृष्णस्य
जन्ममहोत्सवस्य आयोजनं
कुर्वन्ति यस्मिन्
श्रद्धालवः गत्वा
भगवतः विष्णोः
आराधनां कुर्वन्ति
अस्मिन् मन्दिरे
भगवतः गणेशस्य
शक्तिशालीप्रतिमा विद्यमाना
अस्ति अस्मिन्
मन्दिरे भगवतः
शिवस्य भव्यं
लिङ्गमस्ति अस्मिन्
महानगरे उच्चस्तरात्मकं
चलच्चित्रनिर्माणं क्रियते
अस्मिन् महानगरे
ललितपुरभक्तपुरनामिके भगिनिनगरे
अस्मिन् महाभारतयुद्धस्य
वर्णितः यस्मिन्
कर्णः कौरवाणां
सेनापतित्वेन अस्मिन्
उष्णकालः अस्मिन्
भारतीयाः विशेषतः
विश्रान्ताः भवन्ति
अस्मिन् प्रकृतिवत्
प्राप्तायाः अश्वादिदक्षिणायाः
कार्यरूपायाः तस्याः
विहितः इत्यादि
अस्मिन् ध्यानस्य
ज्ञानस्य प्राधान्यम्
आसीत् अस्मिन्
रथमन्दिरमण्डपमूर्तिषु पल्लवशिल्पीनाम्
कुशलता दृश्यते
अस्मिन् विवादिस्वराः
सन्ति अस्मिन्
हिन्दोलरागं मोहनरागं
शुद्धसावेरीरागं प्रति
ग्रहभेदः कर्तुम्
अवकाशः अस्ति
अस्मिन् राज्ये
आदिवासिजनजातियाः निवसन्ति
अस्मिन् राज्ये
अस्मिन् राज्ये
किञ्चन जनपदम्
अस्ति फतेहगढ
साहिब् जनपदम्
अस्मिन् राज्ये
किञ्चन मण्डलम्
अस्ति अजितगढमण्डलम्
अस्मिन् राज्ये
किञ्चन मण्डलम्
अस्ति उधमपुरमण्डलम्
अस्मिन् राज्ये
किञ्चन मण्डलम्
अस्ति कुप्वाडामण्डलम्
अस्मिन् राज्ये
किञ्चन मण्डलम्
अस्ति मनसामण्डलम्
अस्मिन् राज्ये
चतुष्प्रकारकाणि वनानि
प्राप्यन्ते अस्मिन्
राज्ये चायस्य
कृषिः सर्वाधिकी
अस्मिन् राज्ये
निर्यासस्य प्रतिशतं
एलायाः प्रतिशतं
श्यामवल्याः प्रतिशतम्
उत्पादनं अस्मिन्
राज्ये प्रतिचतुरस्रकिलोमीटरमिते
वसन्ति अर्थात्
राज्यस्य जनसङ्ख्यासान्द्रता
प्रतिचतुरस्रकिलोमीटर् अस्मिन्
राज्ये प्रायः
व्याघ्रपरियोजनाक्षेत्राणि सन्ति
अस्मिन् वर्षे
इङ्ग्लेण्ड्देशीया जीवविज्ञानिनी
आनिङ्ग् नामिका
पुरातनजीविनाम् अध्ययनं
कृत्वा टिरोड्याक्टिल्
नामकस्य दैत्याकारस्य
डैनोसारस् इत्यस्य
प्राणिनः अस्थीनि
रिजिस् नामके
ग्रामे प्रवासिभ्यः
विक्रीणीते अस्मिन्
वर्षे इङ्ग्लेण्ड्
देशीयः नामकः
जीवविज्ञानी सस्याणां
वर्गीकरणं विवृणोत्
अस्मिन् वर्षे
इङ्ग्लेण्ड्देशीयः मैखेल्
कीन्स् नामकः
ऐल्स्वर्त् प्रदेशे
विश्वे प्रथमवारं
तृणबदरफलम् अवर्धत
अस्मिन् वर्षे
इङ्ग्लेण्ड्देशीयः विलियं
मूर्क्राफ्ट् नामकः
विश्वे प्रथमवारं
पशूणां शस्त्रचिकित्सां
कृत्वा प्रथमः
पशुवैद्यः प्रसिद्धः
अभवत् अस्मिन्
वर्षे इटलीदेशस्थः
जिरोलामो फब्रिजियो
नामकः अङ्गरचनाविज्ञानी
भ्रूणशास्त्रं विवृणोत्
अस्मिन् वर्षे
उड्डयनार्थम् असमर्थस्य
नामकस्य इदानीं
पक्षिणः सन्ति
पक्षिकुलस्य अन्तिमं
पक्षिणं मारिश्हस्प्रदेशे
बुभुक्षितः कश्चन
नाविकः मारयित्वा
अखादत् अस्मिन्
वर्षे जर्मनीदेशीयः
खगोलविज्ञानी जोहान्स्
केप्लर् आधुनिकं
सूक्ष्मदर्शकं काम्पौण्ड्
मैक्रोस्कोप् निर्मितवान्
अस्मिन् वर्षे
जार्ज् क्युव्ये
नामकः जीवविज्ञानी
भूमेः इतिहासे
बहूनां जीवसङ्कुलानां
अस्ति प्रत्यपादयत्
अस्मिन् वर्षे
जिरोलावो फ्राकास्टोरो
नामकः इटलीदेशस्थः
वैद्यः तर्कपण्डितः
अन्कण्टीजियम् आण्ड्
कण्टीजियस् डिसीसस्
नामकं पुस्तकं
प्रकाशयत् अस्मिन्
वर्षे प्यारिस्नगरे
अकादमि सैन्सस्
आरब्धम् अस्मिन्
वर्षे फ्रान्स्
देशस्थः लेनेक्
मानारल् नामकः
स्यन्दमापिनी नामकम्
उपकरणं स्केतस्कोप्
निर्मितवान् अस्मिन्
वर्षे फ्रान्स्
देशस्य सस्यविज्ञानी
मैखेल् आडन्सन्
नामकः सस्यानां
प्राकृतिकानि लक्षणानि
विवृण्वन् फ्यामिलीस्
न्याचुरल्स् प्लाण्टी
इत्याख्यां कृतिम्
अरचयत् अस्मिन्
वर्षे फ्रान्स्
देशीयः बापिस्टे
डेनिस् नामकः
कृतकरूपेण रक्तदानम्
आरब्धवान् अस्मिन्
वर्षे राबर्ट्
नामकः भारतस्य
कोल्कत्ता प्रदेशस्य
समीपॆ एकरेमिते
स्थाने भारतीयऔद्भिदीयउद्यानस्य
आरम्भम् अकरोत्
अस्मिन् वर्षे
सस्यानि राज्यस्येतिहासे
सर्वाधिकानि जातानि
अस्मिन् वर्षे
सार्वजनिका वैद्यकीया
विश्वे प्रथमवारं
चीनादेशे आरब्धा
अस्मिन् वर्षे
बीगल् नौकया
प्रस्थितः चार्ल्स्
डार्विन् भूमध्यरेखायाः
यावत् विद्यमानं
दक्षिणअमेरिकीयं गालपगोस्
नामकं द्वीपसमुच्चयं
प्राप्नोत् अस्मिन्
वर्षे हेल्म्
होल्टज् नामकः
विज्ञानी आफ्ताल्मोस्कोप्
नामकम् उपकरणं
निर्मितवान् अस्मिन्
वाक्ये ज्ञापकक्रिया
कर्मगता अस्मिन्
वाच्येऽथेर् प्रतीतिगोचरे
क्रमेण लज्जारूपो
व्यङ्ग्योऽर्थ प्रधानतया
भासते अस्मिन्
विषये वर्षे
नवेम्बर दिनाङ्के
जनाभिप्रायसङ्ग्रहणे प्रयत्नः
विफलः अस्मिन्
विषये अणुमध्वचरिते
ग्रन्थमालिकास्तोत्रेषु स्पष्टतया
निरूपितं दृश्यते
अस्मिन् विषये
आधुनिकसंशोधः बहुमुख्यः
अस्मिन् विषये
उपक्रमे प्रतिज्ञात
सोऽयमात्मा चतुष्पात्
इत्यस्य वाक्यस्यानुस्मरणम्
अतिमुख्यत्वं अस्मिन्
विषये जहङ्गीरटाटावर्यस्य
ससमाधानः असीत्
अस्मिन्विषये रज्जुसर्पः
दृष्टाआत्मनन्तः अस्मिन्
विषये विदुषां
भिप्रायभेदाः सन्ति
अस्मिन् विषये
विश्वहिन्दूपरिषदः राष्ट्रीयस्वयंसेवकसङ्घयोः
समर्थनं पूर्णतया
भारतीयजनतापक्षेण लब्धम्
आसीत् अस्मिन्
विषये सन्देहः
वर्तते अस्मिन्
वृत्ते सप्तदशाक्षराणि
भवन्ति अष्टमे
अस्मिन् वृत्ते
एकविंशत्यक्षराणि भवन्ति
अस्मिन् व्यवहारकाण्डे
प्रथमश्लोकः विद्यते
व्यवहारान् पश्येत्
विद्वद्भिः ब्राह्मणैः
अस्मिन् व्याकरणदर्शने
भाष्यकारः सूक्ष्मगम्भीररूक्षणां
विषयाणामपि विवरणं
गुडजिह्विकान्यायेन रोचकया
आसेचनकया सरसया
मधुरया शैल्या
कृतवान् अस्ति
अस्मिन् व्यापारे
व्यापारिकावरोधानां निवारणं
अस्मिन् व्यायामे
निरुपकरणाः सोपकरणाः
क्रियाः भवन्ति
अस्मिन् व्रते
वटस्य वटवृक्षस्य
सावित्र्याः द्वयोः
महत्त्वम् अस्ति
अस्मिन् शृङ्गारप्रकाशे
अलङ्काराः नाट्यांशाः
सन्ति अस्मिन्
श्लोके अदौषौ
इतीदं विशेषणं
नान्वेति अस्मिन्
श्लोके उपयुक्तं
इत्यार्थबोधकम् अस्मिन्
सङ्घटने इन्दिरा
रायसम गोस्वामी
इत्यस्याः महद्योगदानम्
अस्ति अस्मिन्
आदेशं जनान्
प्रेरयन् अटितवान्
अस्मिन् चत्वारि
आङ्ग्लमैसूरु समाराणि
अभवन् अस्मिन्
क्वचित् रामलीलाभिनयस्यायोजनमपि
अस्मिन् आगत्य
तीर्थं नयन्ति
अस्मिन् भारते
श्रीलङ्कायाञ्च आङ्ग्लेयानां
शासनमासीत् अस्मिन्
श्वुनकस्य कर्णयोः
कार्पासं स्थापनीयम्
अन्यथा कर्णयोः
प्रविश्य पीडाभवेत्
अस्मिन् समयेऽपि
जवहरलालनेहरुः अनैकैः
नायकैः बद्धः
अभवत् अस्मिन्
समूहे प्रायः
सहस्रं कर्मचारिणः
संलग्नाः सन्ति
अस्मिन् संस्कार
प्रत्ययानां क्षयः
उदयश्च जायेते
अस्मिन् स्तूपे
भगवतः बुद्धस्य
अस्थीनि स्थापितानि
सन्ति अस्मिन्
स्थले पर्वतोपरि
चतुःषष्ठियोगिनीनां मन्दिरम्
अस्ति अस्मिन्
स्वपक्षस्थापनम् परपक्षनिराकरणम्
उभयमपि भवेत्
अस्मिन् स्वपक्षस्य
स्थापनस्य आवश्यकता
नास्ति अस्मै
कार्याय पूज्य
एकैकस्य गृहस्य
अतिथिः अभवत्
अस्मै संशोधनाय
आवश्यकानि साधनानि
निर्मापितवान् सूक्तानि
सन्ति सम्पूर्ण
सूक्तेषु अन्यत्र
आंशिकरूपेण अर्चना
कृतास्ति इत्यपि
नामधेयम् अस्ति
नामान्तरमस्ति विदूरयोः
स्थानयोः व्यत्यासः
मिलिय मैलुपरिमितमस्ति
अद्भुत सौन्दर्यं
साक्षादेव द्रष्टव्यम्
फर्ग्युसन् महोदयः
उक्तवान् अस्ति
अध्यायस्य मन्त्राध्यायः
इत्येव प्रसिद्धिः
अस्ति अनुभवः
सामान्यैः प्राप्येत
अन्ताराष्ट्रियवाताटोत्सवस्य उद्घाटनं
गुजरातराज्यस्य मुख्यमन्त्री
नरेन्द्र श्लोकोच्चारणेन
करिष्यति अर्कसस्यस्य
त्वक् निवारयति
वमनम् कारयति
अर्थः सुवर्णकारस्थले
लभ्यमानरजतं इत्येव
अश्वत्थस्य चूर्णं
वटवृक्षस्य चूर्णं
इत्यस्य वृक्षस्य
चूर्णम् औदुम्बरवृक्षस्य
चूर्णं हूवरि
इत्यस्य वृक्षस्य
चूर्णं योजयित्वा
योजयित्वा सम्यक्
क्वथनीयम् आङ्गलानुवादस्य
क्रिस्तशके वर्षे
विश्वप्रसिध्दः नोबेलपुरस्कारः
लब्धः अभवत्
आङ्गलेयविवर्तनम् अधुनापि
उपलभ्यते आयामविस्तारव्यासानां
विषये नास्ति
कश्चन विशिष्टः
नियमः आयुर्वेदादिविषयिण्यः
अन्या रचनाः
प्राप्यन्ते महायुगसमानं
आल्बर्ट् स्याबिनस्य
मुखद्वारा सेव्यमानं
मधुररुचियुक्तं द्रवरूपम्
विश्वाद्यन्तं प्रसिद्धम्
अभवत् ईशान्यदिशि
पूर्वदिशि तञ्जावूरुमण्डलम्
आग्नेयदिशि प्राक्
जलसङ्क्रमः नैर्ऋत्ये
रामनाथपुरमण्डलं शिवगङ्गामण्डलम्
पश्चिमवायव्यदिशयोः तिरुचिराप्पळ्ळिमण्डलं
अस्ति उत्तरदिशि
तिब्बतदेशः दक्षिणपूर्वदिशि
भूटान पूर्वदिशि
पश्चिमकमेङ्गमण्डल सेलापर्वतशृङ्खला
विद्यते उत्सवस्य
प्रमुखं केन्द्रं
चुचुयिमलाङ्गग्रामः अस्ति
उद्देशः मुसल्मानयूवानः
क्रान्तिकारिषु आन्दोलनेषु
उत्साहिताः करणियाः
हिन्दुमुसल्मानयोः साधनीया
उन्नतविद्याभ्यासः कोलकतायाः
लोयलामहाविद्यालये अभवत्
उपकरणस्य निर्माता
अस्ति लेनेक्
मानारल् उपयोगेन
विस्फोटः मसूरिकः
हृदयदौर्बल्यं अपगच्छति
उपयोगेन अपगच्छति
उल्लेखम् स्वस्य
आत्मचरितम् इतिपुस्तके
कृतवान् वसन्तः
एतादृशीं स्थितिं
ज्ञात्वा स्वामी
शिवानन्तः चिन्मयानन्दः
उपनिषदाम् अध्ययनार्थं
स्वामिनः तपोवनवर्यस्य
निकटं प्रेषितवान्
एरासिस्ट्राटसस्य मतानुसारं
शरीरस्य सर्वम्
कार्यं यान्त्रिकरूपेण
प्रचलति मलयपर्वतस्य
गर्भभूतः शबरिमलै
कोटिशः हिन्दूनाम्
आराध्यदैवस्य अय्यप्पस्य
वासस्थानम् वर्तते
आश्चर्यस्य किमपि
स्थानम् कविकल्पिता
कन्नडप्रतिभाशलिग्रन्थकर्तुः कस्तूरिमृगस्य
वैज्ञानिकं मास्कस्
मास्किफरस् काङ्ग्रेस्
पक्षस्य प्रकृता
नेत्री सोनिया
गान्धी कारणमासीत्
शारदावर्णमालायाः प्रारम्भः
सर्वदा स्वस्ति
सिद्धम् लेखनपश्चात्
कारणमिदमस्ति एकस्मिन्
आत्मनि स्वीकृते
सर्वेषां प्राणिनाम्
व्यापारो भवेत्
किन्तु जन्ममरणकरणादिक्रियाणाम्
एकस्मिन् अनेकताम्
अवलोक्य इदमेव
वक्तुं शक्यते
प्रतिशरीरम् आत्मा
भिन्नोऽस्ति कारणम्
अस्ति बुधस्य
नैबिड्याधिक्यम् कारणम्
एतदस्ति सूचीकलाकुशलाः
अत्यधिकसङ्ख्याकाः कर्मकराः
अत्रैव निवसन्ति
कार्यक्षेत्रं विशेषतः
गुजरात्राज्यम् आसीत्
कार्याय राष्ट्रपतिप्रशस्तिः
प्राप्ता कार्यार्थं
सम्पूर्णे भारते
संस्थायाः कार्यविभागाः
शाखाः कर्मरताः
सन्ति कालस्य
शिल्पानि अत्यन्तं
सूक्ष्मविन्यासयुक्तानि कलानिपुणनि
कालात् पूर्वमपि
द्वैतदर्शनम् आसीत्
काव्यस्य रचयिता
अमरुः अमरुकः
काव्येषु अलङ्काराणां
शब्दचमकृतेः आधिक्यं
दृश्यते किरातार्जुनीयम्
एकमेव महाकाव्यं
प्राप्यते बृहत्त्रय्यां
प्रथमस्थाने परिगणितम्
कुटुम्बः फ्याबेसि
मिमोसे कृतयः
बहुसरलया भाषया
स्पष्टञ्च विद्यन्ते
केन्द्रस्थानं नागपट्टिनपत्तनम्
क्षेत्रस्य उत्तरभागः
हिमालया आगताभिः
नदीभिः ध्वस्तः
क्षेत्रस्य पश्चिमभागः
माहीनद्या सेसिच्यते
क्षेत्रस्य मण्डलद्वयम्
अस्ति क्षेत्रस्य
समीपे बहूनि
वीक्षणीयस्थलानि सन्ति
गणगभवनं गन्धर्वभवनं
नामानि श्रीगुरुचरित्रग्रन्थे
सन्ति प्रतिशते
गानकर्यक्रमः अपूर्वं
अवाप्नोत् गीतस्य
रचयिता दव्जेकर्
कृतवान् गुल्मस्य
गरिष्ठौन्नत्यं गौरवार्थं
ग्रन्थाय श्रीनरहरितीर्थस्य
श्लोकरूपं व्याख्यानरूपेणच
व्याख्याने वर्तेते
ग्रहस्य उपग्रहौ
ट्रैटन् नेरैड्
ग्रहस्य विषये
अद्यापि स्पष्टतया
विवरणं उपलभ्यते
ग्रहाय एकवारं
स्वाक्षे परिक्रमणं
कर्तुं घन्टाः
निमेषाः अपेक्षन्ते
ग्रामसय् समीपे
मैण्टाङ्ग् प्रवहति
ग्रामस्य नृत्यानि
प्रसिद्धानि सन्ति
ग्रामस्य वातावरणं
शान्तं ग्रिगोर्
मेण्डेलस्य विज्ञाने
विद्यमानाम् आसक्तिम्
अवगत्य मठस्य
परतया वर्षद्वयं
यावत् भौतविज्ञानस्य
अध्ययनार्थं वेनिस्
प्रति प्रेषितः
चत्वार एवाङ्का
उपलभ्यन्ते चत्वारि
महाद्वाराणि सन्ति
निरासप्रयत्नः तत्तत्कालीनैः
महात्मभिः चौकाबारा
इत्यपि नामान्तरं
वर्तते विक्रमसंवत्सरे
काष्ठमण्डपनगरे अभवत्
जलपातस्य सृष्टेः
पावित्र्यस्य विषये
श्रूयते जलपातस्य
सौन्दर्यम् आस्वादयितुं
ग्रामजनानां सौकर्याय
जलबन्धस्य निर्माणकार्यं
वर्षे समाप्तम्
जलबन्धस्य निर्माणम्
तमस्य वर्षस्य
मार्चमासस्य दिनाङ्के
अभवत् जलबन्धस्य
निर्माणं जिततैलस्य
प्रयोजनानि जिनालस्य
अधोभागः दशमशताब्द्यां
निर्मितः आसीत्
जीवनविषये लिखितप्रमाणाभावेन
निश्चितरूपेण किमपि
वक्तुं शक्यम्
जीवनस्य अन्तिमकाले
फिक्षनल स्टफ्
ग्रन्थम् वर्णयति
जीवितकालः ज्येष्टः
पुत्रः राहुल
शार्मा तथ्यस्योल्लेखः
प्राप्यते किन्तु
सूत्रग्रन्थोऽनुलब्धोऽस्ति तन्त्राख्यायिकया
महत्साम्यं वर्त्तते
नगरमस्ति तीर्थक्षेत्रस्य
परिसरः वर्णनातीतः
तीर्थस्य नैकानि
नामानि सन्ति
तीर्थस्य परितः
श्वेतशैलानां सन्ति
तीर्थस्य बहूनि
नामानि सन्ति
मैल्परिमितः उपन्याससम्राट्
इत्यभिधानं प्रसिद्धम्
तुलसीकषायस्य निर्माणम्
तुलसीपत्राणि सम्यक्
कुट्टनीयम् त्रयो
भेदाः सन्तिपूर्ववत्
शेषवत् सामान्यतोदृष्टं
दक्षिणभागे तनामिमरुभूमिः
विद्यते दक्षिणभागे
हरियाणाराज्यं स्थितम्
अस्ति दक्षिणे
सतपुडायाः पर्वताश्रेण्याः
आरम्भः दर्शनस्य
तत्त्वोपप्लवसिन्धुनामकः अर्वाचीनः
ग्रन्थः प्राप्यते
अग्निपेटिकानिर्माणे उपयोजयन्ति
दार्शनिकं भर्तृहरिणा
वाक्यपदीयग्रन्थे विस्तारितम्
दीपस्य दर्शनमेव
ज्योतिर्दर्शनम् इत्युच्यते
दुर्गस्य अन्तः
मोतीमहल् फूलमहल्
शीशमहल् सन्ति
दुर्गस्य निर्माणं
सेन्ड पाषाणैः
कृतम् अस्ति
दुर्गस्य निर्माणं
हिन्दु मुस्लिम
अफगानशैलीषु कृतमस्ति
दुर्गस्य वास्तुकला
विशिष्टा वर्तते
दुर्गस्य वास्तुकला
दृष्टुं योग्या
