ប្លាតុង ក្នុងរូបាធិដ្ឋាននៃគុហារបស់លោក
ហើយបានធ្វើទុក្ខកម្ចាត់ហរិបុញ្ជ័យយ៉ាងធ្ងន់ធ្ងរ ព្រះនាងលីវយីបានធ្វើសង្គ្រាមចាញ់ព្រះបាទហ៊ុនទៀន
ដែលជាជនជាតិឥណ្ឌា ចាប់ពីពេលនោះមក
ព្រះបាទហ៊ុនទៀនបានក្លាយជាព្រះមហាក្សត្ររបស់នគរវ្នំ អរិយធម៌ឥណ្ឌាមាន
សាសនា សិល្បៈជាដើម
ក៏បានជ្រាបចូលទៅក្នុងសង្គមខ្មែរចាប់ពីពេលនោះមក បានចុះចតដោយគ្មានការតបតប្រឆាំង
អង្គភាពបងប្អូនរបស់ខ្លួន គឺកងវរសេនាតូចទី
ទ័ពថ្មើរជើងទីក៏មិនត្រូវបានប្រឆាំងតបតដែរ កងវរសេនាតូចទីនៃទ័ពថ្មើរជើងទី
យ៉ាងណាក៏ដោយ ក៏បានបញ្ចូលមនុស្សត្រឹមតែនាក់ប៉ុណ្ណោះមុនពេលការបាញ់ប្រហាររបស់ក
រណសិរ្សរំដោះជាតិបានឡើយ សាធារណរដ្ឋតាមយថាហេតុបានដួលរលំនៅ
ថ្ងៃមេសា ឆ្នាំ
នៅពេលនោះពួកកុម្មុយនិស្តកម្ពុជាបានដណ្ដើមបានភ្នំពេញ អគ្គលេខាធិការ
តាំងពីខែ កុម្ភៈ
មកម៉្លេះ ពួកសហការីរបស់គាត់ធ្លាប់មានតួនាទីជាទីភ្នាក់ងារនយោបាយរបស់បក្ស
ហើយពួកគេបានក្ដោបក្ដាប់កៅអីភាគច្រើននៅឯគណៈមជ្ឍិម កងទ័ពបដិវត្តន៍កម្ពុជា
ឈ្មោះនេះបានចុះកាលបរិច្ឆេទត្រឡប់ទៅការបះឡើងរបស់កសិករដែលបានផ្ទុះឡើងនៅ ស្រុកសំឡូត
ខេត្តបាត់ដំបង ក្នុងឆ្នាំ
បក្សកុម្មុយនិស្តឥណ្ឌូចិន តាមរយៈប្រវត្តិវិទូលោកដេវីដឆេនដ្លឺរ
ពួកក្រុមឥស្សរៈឆ្វេងនិយម ត្រូវបានជួយដោយពួកវៀតមិញ
ហើយបានកាន់កាប់មួយភាគប្រាំមួយនៃទឹកដីកម្ពុជានៅឆ្នាំ ហើយនិងនៅមុនថ្ងៃសន្និសីទសឺរណែវ
ពួកគេបានកាន់កាប់ភាគច្រើនស្មើពាក់កណ្ដាលនៃផ្ទៃប្រទេស ជួរទ័ពនេះត្រូវការពេលជាច្រើនថ្ងៃដើម្បីសម្រាកយកកម្លាំងវិញ
និងលោកទ្រឿងខ្លួនឯងនឹងស្នើសុំជាច្រើនអាទិត្យ​ដើម្បីសម្រាកយកកម្លាំងពីការចល័តទ័ពដ៏វែងឆ្ងាយ ការផ្លាស់ប្ដូរឈ្មោះបក្សគឺជាការសម្ងាត់ដែលបានលាក់បាំងយ៉ាងជិត
ពួកសមាជិកដែលមានតំណែងទាបៗរបស់បក្ស និងសូម្បីតែពួកវៀតណាមក៏មិនត្រូវបានប្រាប់អំពីបក្សនេះដែរ
រួមទាំងពួកមិនមែនជាសមាជិកភាពផង រហូតដល់ប៉ុន្មានឆ្នាំក្រោយៗមកទៀតទើបដឹង
ដែលមានកៅអី ក្នុងរដ្ឋសភា
ក្នុងព្រឹទ្ធសភា នៅថ្ងៃទី
ខែកក្កដា ឆ្នាំ
មន្ត្រីតុលាការ ខ្មែរ
បរទេស ត្រូវ
បម្រើ អង្គជំនុំ
ជម្រះ វិសាមញ្ញ
ក្នុង តុលាការ
កម្ពុជា បក្សបដិវត្តន៍ប្រជាជនកម្ពុជា
តាមរយៈឯកសារមួយបានបញ្ចេញបន្ទាប់ពីការរៀបចំឡើងវិញ បក្សពលករវៀតណាមនឹងបន្ត
ត្រួតពិនិត្យ ពួកចលនាឡាវ
និងខ្មែរតូចៗ ពួកមេដឹកនាំប
ដំណាក់កាលទីនៃប្រតិបត្តិការនេះ​បានចាប់ផ្ដើមជាមួយការមកដល់នៃចំណុចសំខាន់នៃកងពលធំថ្មើរជើងទី កងកម្លាំងការងាររថក្រោះថ្មើរជើងបួនបានវាយប្រហារចូល​ទៅកាន់ចំពុះសេកពីខាងត្បូង
បន្ទាប់ពីបីថ្ងៃនៃប្រតិបត្តិការ កងទ័ពក
សេអាតូ និងការគាំទ្រសន្និសីទបានឌុងឆ្នាំ
ភូមាជាសកលបានខិតខំយ៉ាងខ្លាំងដើម្បីនៅដោយមិនឱ្យមានភាពលំអៀងក្នុងកិច្ចការពិភពលោក ក៏ជាប្រទេសមួយក្នុងប្រទេសដំបូងៗក្នុងលោកទទួលស្គាលប្រទេសអ៊ីស្រាអែល
សាធារណរដ្ឋប្រជាមានិតចិន គោរាជ
គឺជាកំណែខ្លីនៃឈ្មោះពេញ វាមានទីតាំងស្ថិតនៅមាត់ច្រកនៃខ្ពង់រាបគោរាជ
និងបានកត់ចំណាំជាប្រវត្តិសាស្ត្រតាមព្រំដែនរវាងទឹកដីឡាវនិង ក៏ប៉ុន្តែឥឡូវត្រូវបានចាត់ទុកថាជាផ្លូវចូលទៅកាន់ភាគឦសាន
ទីតាំងភូមិសាស្ត្រគឺ កក្កដា
ដោយកងកម្លាំងស រវាងពួកកុម្មុយនិស្ត
លោកអង់សានរួមគ្នាជាមួយពួកសង្គមនិយមលើយុទ្ធសាស្ត្រ ដែលបានដឹកនាំទៅដល់លោកថានទុនដែលកំពុងបានបង្ខំដើម្បីលាលែងពីអគ្គលេខានៅខែ
កក្កដា ការបណ្ដេញចេញពីគ
បបកភាគច្រើន ទាំងតំណែង
និងឯកសារប្រហែលអាចជាខ្មែរក្រោម ជនជាតិយួនដែលកំពុងបានរស់នៅកម្ពុជា
ការអំពាវនាវរបស់បក្សនេះទៅកាន់ខ្មែរក្នុងស្រុកបង្ហាញថាតិចតួចបំផុត បបកឆ្នាំ
កៅអីនេះគឺត្រូវបានទទួលក្រោមឈ្មោះ កម្ពុជាប្រជាធិបតេយ្យ
រហូតដល់ឆ្នាំ និងក្រោយមក
រដ្ឋាភិបាលចម្រុះកម្ពុជាប្រជាធិបតេយ្យ រហូតដល់ឆ្នាំ
បវណដែលអាចទៅរួចតម្រង់មកភ្នំពេញខ្លួនឯង រោគផ្ដេសផ្ដាសបានវិវត្ត
ហើយនេះវាបានបង្កអោយមានប្រតិកម្មហឹង្សាប្រឆាំងនឹងជនជាតិយួននាក់របស់ប្រទសជាតិនេះ សវណត្រូវបានរំលឹកដោយភក្ដីភាពខាងនយោបាយជាងសមត្ថភាពអាជីព
ជាការសាកល្បងនៃវៀតណាមនីយកម្ម ការលុកលុយត្រូវបានលើកសរសើរដោយពួកឧត្តមសេនីយ៍
អ្នកនយោបាយរបស់អាមេរិកដូចគ្នា ក៏ប៉ុន្តែពួកវៀតណាមពិតជាមិនបានធ្វើតែឯងនោះទេ
ការចូលរួមនៃកងកម្លាំងជើងគោកនិងអាកាសរបស់ស ពេលព្រះអង្គអាយុបាន
ឆ្នាំ បួសជាសាមណេរនៅ
វត្តសុវណ្ណគន្ធវារីរង្សីហៅថាវត្តព្រែកទុង ក្រោមសំណាក់
ព្រះឧបជ្ឈាយ៍ព្រះនាម ពពនៅថ្ងៃ
នៅឆ្នាំ កម្ពុជាបានចូលរួមកិច្ចប្រជុំកំពូលអាស៊ីខាងកើតដែលសម្ភោធនៅម៉ាឡេស៊ី
វិច្ឆិកា កម្ពុជាបានដាក់បញ្ចូលសមាជិកភាពរបស់ខ្លួនវិញទៅក្នុងទីភ្នាក់ងារថាមពលបរមាណូអន្តរជាតិ
កកតាមតំបន់ ខៀវធីរិទ្ធិដែលពោរពេញដោយអំណាច
គឺជារដ្ឋមន្ត្រីសង្គមកិច្ច ដែលទទួលខុសត្រូវចំពោះការដឹកនាំចលនាយុវជន
រជពីប្រទេសព្រះអង្គ ហាណូយដែរ
នៅតែស្ងាត់ស្ងៀម គ្មានបំណងដើម្បីផ្សព្វផ្សាយវត្តមាន​នៃកងកម្លាំងរបស់ខ្លួនឡើយនៅកម្ពុជាអព្យាក្រឹត
ការទម្លាក់គ្រាប់បែកតាម បញ្ជី
នៅតែជាការសម្ងាត់ពីសមាជនិងប្រជាជនស កកបានកាន់កាប់តំណែងគណៈនៅថ្នាក់ខ្ពស់ៗ
គណៈឃុំ និងភូមិជារឿយត្រូវបានកាន់ការដោយពួកកសិករក្រីក្រនៅឯមូលដ្ឋាន
ពិតជាកម្រមែនទែនដោយប្រជាជនថ្មី សហករណ៍ស្រដៀងគ្នានៅក្នុងតំបន់ដែនសមត្ថកិច្ចឃុំដែរ
ដែលបានក្ដោបក្ដាប់ទំនួលខុសត្រូវរដ្ឋាភិបាលដែនដីនៅតំបន់ខ្លះ វជខ្លះបានរំកិលចូលទៅក្នុងវៀតណាមខាងត្បូងរួចហើយ
ការត្រួតត្រារបស់លន់ណុលត្រូវបានកាត់បន្ថយទៅជាបរិពន្ធភូមិតូចៗជុំវិញទីក្រុងនានានិង​ផ្លូវដឹកជញ្ជូនសំខាន់ៗ ជនភៀសសឹកច្រើនជាង
លាននាក់បានរស់នៅក្នុងទីក្រុងភ្នំពេញ បណ្ដាទីក្រុងដទៃៗទៀត
ដល់ទី ដែលនៅទីបំផុតនឹងអាចគ្រប់គ្រងទៀបកោះឥណ្ឌូចិន
និងថា ចំណាប់អារម្មណ៍របស់យើងត្រូវប្រើអោយល្អបំផុត
ដោយការទាក់ទងជាមួយបក្សពួកដែលថ្ងៃណាមួយនឹងត្រួតត្រាអាស៊ីទាំងមូល ហើយនឹងឈានទៅដល់លក្ខ័ណ្ឌមុនពេលជ័យជំនះរបស់ខ្លួន
ដើម្បីទទួលលក្ខ័ណ្ឌល្អបំផុតដែលអាចទៅរួច ទោះបីព្រះរាជាខ្មែរភាគច្រើនទ្រង់បានទទួលរាក់ទាក់
និងផ្ដល់ជំនួយផ្សេងៗ ជាច្រើនដល់អ្នកផ្សាយសាសនា
ក្នុងបំណងអោយពួកបព្វជិតជួយធ្វើអន្តរាគមន៍សុំជំនួយទ័ពមកទប់ទល់នឹងសត្រូវខាងក្នុង និងខាងក្រៅប្រទេសក៏ដោយ
ក៏ការប៉ុនប៉ងផ្សាយសាសនាថ្មីនេះតែងទទួលបរាជ័យគ្រប់ពេលវេលា ររវាង
មិថុនា រៀងមក
ខ្មែរយើងត្រូវបាត់បង់ទឹកដីចាប់ពីវាលទំនាបនៃទន្លេមេណាមរហូតមកដល់ព្រំប្រទល់ខេត្ត បាត់ដំបង
សៀមរាប ចាប់តាំងពីរជ្ជកាលព្រះស្រីរាជា
រជ្ជកាល ព្រះសត្ថាទី
ខ្មែរយើងតែងបានលើកទ័ពទៅវាយរំដោះយកអាណាខេត្តដែលត្រូវបាត់បង់ទៅក្នុងកណ្ដាប់ដៃសៀមនោះបានមកវិញ ព្រះអង្គទ្រង់បានអោយក្រុមហ៊ុន
ឥណ្ឌាខាងកើត ខ្ចីប្រាក់
លក់ម្រក្សណ៍ ឈើខ្លឹមចន្ទន៍
ភ្លុកដំរីអោយពួកហុល្លង់ ទំនាក់ទំនងជាមួយយួន
ក្នុងរាជព្រះអង្គទង រាជពង្សាវតារខ្មែខ្លះបាននិយាយថា
រនិងកសវណត្រូវបានធ្វើអោយផុតភ័យពីការវាយប្រហារណាមួយពីក្រៅកម្ពុជា​ កំឡុងឆ្នាំ
ចន្លោះពេលសមរម្យមួយត្រូវទទួលបានការដកទ័ពថយរបស់អាមេរិកនៅទីបញ្ចប់ ឧត្តមសេនីយ៍ក
កនៅថ្ងៃ រសៃហ្គន
ស្ថានទូតភ្នំពេញ ក៏លន់ណុលអំពីការធ្វើផែនការឡើយ
សន្តិសុខប្រតិបត្តិការបានរឹតបន្តឹងដូចគ្នា តាមតែលោកឧត្តមសេនីយ៍អាប្រាម្ស៍អាចធ្វើបាន
ទីនោះគ្មានការសាងសង់តាមក្បួនដឹកនាំសាស្ត្រស រដែលបន្ត
បានប្រព្រឹត្តិទៅនៅកម្ពុជា បេសកកម្មទាំងនេះត្រូវបានកំណត់ជម្រៅ
សហាតិមាត្រគីឡូម៉ែត្រ រវាងព្រំដែនវៀតណាមខាងត្បូង
និងទន្លេមេគង្គ រនាក់
វៀតណាមខាងត្បូងនាក់ ប្រតិបត្តិការនេះបានប្រើទ័ពថ្មើរជើងដែលប្រើម៉ាស៊ីន
និងអង្គភាពពាសដែកដើម្បីធ្វើដំណើរ​ជ្រៅចូលទៅកាន់ខេត្តនេះ ដែលក្រោយមកទៀតពួកខ្លួនអាចនឹងភ្ជាប់ខ្លួនជាមួយទាហានអាកាសក
រនៅឆ្នាំ កងទ័ពអាកាសថៃបានក្ដោបក្ដាប់អំណាចពេញទី
កំឡុងទសវត្ស និងដើមទសវត្ស
វាលយន្តហោះត្រូវបានដំណើរការចូលរួមជាអាកាសយានដ្ឋានស៊ីវិល​សម្រាប់នគររាជសីមា នេះត្រូវបានបញ្ចប់ជាមួយការសម្ភោធនូវអាកាសយានដ្ឋាននគររាជសីមានៅដើមទសវត្ស
រចំពោះការលាក់អាថ៌កំបាំង ខ្យល់រដូវកម្ពុជា
ភ្លៀងដ៏ច្រើនរបស់ខ្យល់នេះបាននឹងរំខានរារាំងប្រតិបត្តិការនានា គឺត្រឹមតែពីរខែកន្លងទៅប៉ុណ្ណោះ
តាមការបញ្ជានៃលោកប្រធានាធិបតី នាយកដ្ឋានរដ្ឋមិនបានអោយដំណឹងដល់តុការិយាល័យកម្ពុជានៅក្នុងស្ថានទូតស
រនៅរវាងថ្ងៃឧសភានិងមិថុនា គោលដៅនៃប្រតិបត្តិការគឺតំបន់មូលដ្ឋាន
ដែលតាំងនៅភាគខាងជើងនិងឦសាននៃតាយនីញ រោងដំរី
វៀតណាមខាងត្បូង ម្ដងទៀត
ការប្រមាញ់រកអង្គភាពក ការ​ផ្ដល់​បរមងារ​ដល់
អូហ្គុសទុស ជា​អធិរាជ​ដោយ​ព្រឹទ្ធសភា​រ៉ូម
ប្រពៃណីនៃការបោះបាយបិណ្ឌ និងការធ្វើនំអន្សមដាក់បិណ្ឌ
មូលហេតុដែលខ្ញែរមិនចូលចិត្តដាំចេក ជាប់ជញ្ជាំងផ្ទះ
ជាពិសេស ក្បែរបង្អួច
សេចក្ដីនេះប្រៀបដូចអ្នករៀបចំណេះវិជ្ជាផងទាំងពួង អ្នកណារៀនអ្នកនោះចេះនឹងរៀនជួសគ្នាឬនឹងចេះជួសគ្នាមិនកើត
ការរៀបជាកម្មគឺហេតុ ការចេះដឹងជាផល
ហេតុនឹងផល តែងអាស្រ័យគ្នាជានិច្ចដូចសុភាសិតបុរាណថា
ចេះពីរៀនមានពីរក ប្រសិនបើ​បន្ទាត់​អយល័រ​កាត់តាម​កំពូល​នៃ​ត្រីកោណ
ចូរស្រាយបំភ្លឺថា​ ត្រីកោណនេះជាត្រីកោណកែង
ជាត្រីកោណសមបាត ផែនដី
ប្រមាណ របស់ផែនដីទាំងអស់
នេះជាមូលហេតុដែល ភាសាបារាំង
បានក្លាយទៅជាភាសាអន្តរជាតិ នៃ​ផ្ទៃដី​ទ្វីប​
ជាមួយ​ប្រជាជន​ប្រមាណ នៅ​ឆ្នាំ​
គឺ​ប្រហែល នៃផ្ទៃសរុបរបស់ផែនដី
នៃប្រជាជនលើពិភពលោក នៅអាស៊ី
ផ្លូវជាតិ​លេខ ពី​ភ្នំពេញ​ទៅ​សេរីសោភ័ណ
កាត់​តាម​កំពង់ធំ សៀមរាប
មានប្រវែង ផ្លូវជាតិ​លេខ
ពី​ស្នួល​ទៅ​ព្រំប្រទល់ឡាវ កាត់​តាម​ក្រចេះ
ស្ទឹង​ត្រែង ប្រវែង
ទន្លេនេះហូរកាត់ខេត្តពោធិ៍សាត់ ខេត្តកំពង់ឆ្នាំង
ខេត្តកណ្តាល ទីក្រុងភ្នំពេញ
កក្កដា ភ្នំពេញ
ប្រមុខនៃគណៈរដ្ឋមន្ត្រីរដ្ឋ បរាជ័យដែលបានឆ្លងកាត់ដោយសហរដ្ឋក្នុងការពាក់ព័ន្ធខ្លួនជាមួយ
តតិយលោក បានបង្ហាញក្នុងពន្លឺនូវបទពិសោធន៍ផ្ទាល់របស់កម្ពុជា
ភ្នំពេញ ប្រើលុយ
ផ្សះផ្សា ក្នុង
ច្បាប់ ការងារ
និយោជិត និយោជក់
ក្នុង សាលាក្តី
បដិសន្ធិចិត្ត ដែលកម្មសង្ខារ
តាក់តែងឲ្យ ទៅកើតជា
ប្រេត អសុរកាយ
តិរច្ឆាន មនុស្ស
ទេវតា ឬព្រហ្ម
តាមផលកម្មរបស់ខ្លួន ភពមានឧបាទាន
ការជាប់ជំពាក់ដោយកម្មជា កុសលនិងអកុសល
ជាបច្ច័យឲ្យកើតឡើង វិបាកអ្វី
ចរចាពី បញ្ហា
ព្រំដែន នាពេល
ខាងមុខ ចាំរយខែឆ្នាំ
ចាំរៀងរហូត ទោះតិចក៏ធ្វើ
លទ្ធផលនឹងមាន រុក្ខជាតិព័ន្ធ
កំរាស់ ម៉ែត្រ
ប្រឆាំងនឹង បំពុល
ចិត្ត មនុស្ស
បង្ហាញ នោះឡើយ
ជាចំនួនពិត តុល្យភាព
ត្រូវ អោយល្អ
ជាអនុគមន៍ដែល ជនគ្រប់រូបដែលមានបំនងបោះឆ្នោត
មិនត្រូវអនុញ្ញាតអោយចូលទៅក្នុងបរិវេណខាងក្នុងក្រោយម៉ោង ក្នុង
វិនិច្ឆ័យ ភាពយុត្តិធម៌
តុលាការ នេះផ្តល់
អោយនោះ ប្រធានការិយាល័យបោះឆ្នោត
ត្រូវចាត់អោយបើក ស្រោមសំបុត្រ
លមានត្រាសំងាត់បោះឆ្នោតនៅលើខ្នងសន្លឹកឆ្នោត រាប់សន្លឹកឆ្នោត
កត់ត្រាចំនួនព្រមទាំង លេខរៀងនៅលើគល់បញ្ជីសន្លឹកឆ្នោតតាម
បែបបទដែលកំនត់ដោយគណកម្មាធិការជាតិរៀបចំការបោះឆ្នោត ក្នុងល្បឿននៃពន្លឺ
ការយុទ្ធនាការឃោសនាបោះឆ្នោត មានរយៈពេល
ហើយគ្រប់សកម្មភាពឃោសនាត្រូវបញ្ឈប់ មុនថ្ងៃបោះឆ្នោត
បេក្ខជន​មានសិទ្ធិឈរឈ្មោះបោះឆ្នោត ភាគរយ
អត្រា​ស្ត្រីជា​មេ​គ្រួសារ​តាម​បណ្តា​ស្រុក​បាន​បញ្ជាក់​ថា​ស្រុក​អន្លង់វែង ចំនួនស្ត្រីជាមេគ្រួសារ
ត្រូវ ដូចម្តេច
ដើម្បី បន្ថយ
គម្លាតនេះ ត្រូវ
សំឡឹង ក្នុង
វណ្ណៈនយោបាយ លក្ខណៈ
បុគ្គល ខ្មែរ
ក្រហម ផ្ទាល់
កាមោឃៈ តួចិត្តដែលប្រកាន់
យកសុខៗ ប្រកាន់យកអញៗ
ស្រីៗ ប្រុសៗនោះ
មិនព្រមលែង តួចិត្តនោះហៅថា
ភវោឃៈ ស្គាល់
ខេត្ត កោះកុង
ដោយសារ ធម្មជាតិ
ដ៏សម្បូរបែប ព្រៃឈើ
ខ្ពស់ទាប ខេត្ត
ឆ្នេរសមុទ្រមួយ ក្លាយ
ប្រទេស កម្ពុជា
កម្មាធិការ សិទ្ធិ
មនុស្ស អំណាច
ទូលាយ វេឡុវ័ន
ឫស្សីស្រុក កំពង់ស្ពាន
ក្រោយអង្គរ ពោធិសិរី
ចុងផ្នោ កំពង់ស្ពាន
ក្រោយអង្គរ មហាកថានៈ
ស្មើនឹង អសង្ខេយ្យ
ទេពឪទ្យាន តាដេវ
កំពង់ស្ពាន ក្រោយអង្គរ
បុទុមសាគរ កំពង់ស្ពាន
កំពង់ស្ពាន ក្រោយអង្គរ
មជ្ឈឹមារាម កណ្តាល
កំពង់ស្ពាន អង្គរ
នាទីបានឡើយ ជនដែលមានសិទ្ធិបោះឆ្នោតក្រោយម៉ោង
សង្វរថ្មមាស អូរទទឹង
កំពង់ស្ពាន ក្រោយអង្គរ
និងមាត្រា ច្បាប់នេះ
អនុវត្តបានតែក្នុងរង្វង់ ដែនដីឃុំ
សង្កាត់របស់ខ្លួនតែប៉ុណ្ណោះ ក្នុងករណីមានបញ្ហាកើតឡើងទាក់ទងសមត្ថកិច្ចរវាងឃុំ
សង្កាត់ពីររឺច្រើន រដ្ឋមន្ត្រីក្រសួងមហាផ្ទៃ
ត្រូវចាត់ការអោយមានការសំរុះសំរួលគ្នារវាងរដ្ឋដែលពាក់ព័ន្ធទាំងនោះ ព្រលានមានជ័យ
ចុងព្រលាន កំពង់ស្ពាន
ក្រោយអង្គរ ឆ្នាំ
ក្រោម​ការ​ផ្តួច​​​ផ្តើម​គំនិត​និង​កសាង​ដោយ​ ឯក​ឧត្តម​
ឧប​នាយក​រដ្ឋ​មន្ត្រី​រដ្ឋ​មន្រ្តី​ក្រសួង​មហា​ផ្ទៃ​និង​ជា​តំណាង​រាស្រ្ត​ខេត្ត​បាត់​ដំបង ជាអនុគមន៍ពហុធា
ជាចំនួនពិតគេបាន ជាអនុគមន៍សនិទាន
ជាចំនួនពិតដែល នោះគេបាន
រតនះទីបារាមកោះកែវ អូរមិច
កំពង់ស្ពាន ក្រោយអង្គរ
មានការពិភាក្សាវែងឆ្ងាយ អំពីមហាភូត
ក្រោមការគ្រប់គ្រងនៃក្រសួង សុខាភិបាលបានកំពុងអនុវត្ដតួនាទី
កត្ដព្វកិច្ចទាំងឡាយត្រូវបានរាយនាមដូចខាងក្រោម ពីទីរួមខេត្តក្នុងភូមិបាសែត
ឃុំតាប៉ុន ប្រាសាទ
បាសែតជាស្ថាបត្យកម្មសតវត្សទី កសាងក្នុងឆ្នាំ
នៅក្បែរប្រាសាទមានស្រះបុរាណនួយមានបណ្តោយ ដែលត្រូវគេចោទប្រកាប់ថាមានមនុស្សប្រមាណជាង
ដែលកើតចេញពីដំណាំលើទ្រព្យជាដីរបស់កម្មសិទ្ធិករ នៃទ្រព្យនេះ
លុះត្រាតែកម្មសិទ្ធិករនោះបានសងតម្លៃ នៃការភ្ជួររាស់
ពលកម្ម ដែលបានធ្វើជាយថាហេតុដោយតតិយជន
កុំ​ប្រកាន់​ជឿ​ថា អរិយគាមុនី
លះ​ប្រមាថ ប្រហែស
ខ្ជីខ្ជា ផ្កាស្រពោន
បរាភវសូត្រ កុលាបប៉ៃលិន
វេស្សន្តរ​ជាតក ពេល​ស្រវឹង​ខ្លាំង
វង្វេង​ខ្លាំង នឹក​ដល់​តិរច្ឆាន
អក្សរ​សិល្ប៍​ខ្មែរ និពន្ធ​សេចក្តី​ខ្មែរ
វិជ្ជា​និពន្ធ ធម៌​ណា​ដែល​ប្រព្រឹត្ត​ទៅ​ដើម្បី
ត្រាស់ដឹង ផ្ទុយ​នឹង​ធម៌
ដែល​នាំ​ឲ្យ​វង្វេង​វីវក់ ឱវាទថា
ត្រូវចេះគោរពទេវតាខាងក្នុង គឺថាត្រូវដឹងខ្លួនជានិច្ចថា
ឪពុកក្មេក ម្តាយក្មេក
ស្វាមីប្រៀបដូច ទេវតា
ដែលខ្លួនត្រូវតែគោរព ឧទ្ទេស​សិក្សា
ឬ​ការ​រៀន​សេចក្ដី​អធិប្បាយ ឧទ្ទេសាចារ្យ
អាចារ្យ​អ្នក​បង្រៀន​បាលី មើល​ក្នុង​ពាក្យ
អាចារ្យ ព្រះពុទ្ធបានប្រកាសថា
គ្មានអ្វីៗទាំងអស់នៅក្រៅ អំពីសឡាយតនៈនេះទេ
ក្នុងធម្មបរិយាយបន្ទាប់ សំយុត្តនិកាយ
ដែលពួកគេប្រើប្រាស់របស់ទាំងនេះសំរាប់ជីវិតរបស់ពួកគេប្រចាំថ្ងៃ ឆ្នាំ
គឺគ្មានគ្រួសារ ដែលមានពីអាយុឆ្នាំ
រឺក៏ចាស់ជាងនេះ អាយុជាមធ្យមគឺឆ្នាំ
ស្រីនាក់មានប្រុស សែសិប
ប្រាំលាន ផ្ដន្ទាទោសដាក់ពន្ធនាគារតាមច្បាប់ជាធរមាន
បីលាន ផ្ដន្ទាទោសដាក់ពន្ធនាគារពី
ប្រាំមួយ ដោយមិនគិតដល់ព្យសនកម្ម
ដែលបណ្ដាលមកពី អំពើរបស់ខ្លួន
បីលាន ដាក់ពន្ធនាគារពី
ប្រាំមួយ បីលានរៀល
រឺនិងដាក់ពន្ធនាគារពី ប្រាំមួយខែ
ដប់លាន ត្រូវទទួលទោសរដ្ឋបាលថែមទៀត
ប្រាំលាន ត្រូវទទួលទោសរដ្ឋបាលថែមទៀត
រាប់ចូលជាការរំលោភ ការផ្ដល់ទិន្នន័យជាផ្លូវការខុស
ការចេញប័ណ្ណកម្មសិទ្ធិខុស ការបិទបាំងហ៊ីប៉ូតែក
បន្ទុកផ្សេងៗ ការបោះគោលព្រំដីខុសដោយចេតនា
រាល់ការធ្វេសប្រហែសក្នុងការធ្វើលេខាចារិកលើឯកសារសុរិយោដី សាមសិបលាន
ផ្ដន្ទាទោសដាក់ពន្ធនាគារពី ឆ្នាំ
ប្រាំ ឆ្នាំ
ត្រូវទទួលទោសរដ្ឋបាលថែមទៀត ប្រាំបួនលាន
ផ្ដន្ទាទោសដាក់ពន្ធនាគារពី ឆ្នាំ
ប្រាំ ឆ្នាំ
ត្រូវទទួលទោសរដ្ឋបាលថែមទៀត ប្រាំបួនលាន
ក្នុងករណីមិនរាងចាលត្រូវផ្ដន្ទាទោសពិន័យជាប្រាក់ទ្វេដង ប្រាំបួនលានរៀល
រឺនិងផ្ដន់ទាទោសដាក់ពន្ធនាគារពី ឆ្នាំ
ប្រាំ ឆ្នាំ
និងត្រូវទទួលទោសរដ្ឋ បាលថែមទៀត
ម្ភៃប្រាំលាន ផ្ដន្ទាទោសដាក់ពន្ធនាគារពី
ប្រាំមួយ ឆ្នាំ
ការកើតជាទុក្ខ ការចាស់ជាទុក្ខ
ការឈឺក៏ជាទុក្ខ ការស្លាប់ក៏ជាទុក្ខ
ចំណែកអ្នកម្ចាស់ទាន ក៏កើតលោភមូល
សោមនស្ស ជាទិដ្និសម្បយុត្ត
រឹតតែខ្លាំងឡើងៗ ត្រង់ដែលយល់ឃើញថា
ធ្វើទានបាន សម្បត្តិច្រើននេះ
ជាតួសស្សតទិដ្និ ឥឡូវនេះនាវាត្រៃលក្ខណ៍
ភ្លឺរុងរឿងត្រចះត្រចង់ដូចកាលដែល ព្រះសម្មាសម្ពុទ្ធ
ជាបរមគ្រូ គង់ធរមាននៅនោះដែរ
នេះជាពន្លឺទី ច័ន្ទរះបវរព្ធដ៏នភា
មានហ្វូងតារាភ្លឺថ្លាពណ្ណរាយ តែច័ន្ទរះខ្ពស់ឆ្ងាយ
សែនស្តាយហត្ថាមិនដល់ រាត្រីរះដប់កើតច័ន្ទអើតលឹមៗ
ចិត្តលួចញញឹមស្នេហ៍ច័ន្ទនិមល ស្តាយដៃឈោងមិនដល់
ខ្វាយខ្វល់ម្នាក់ឯងសោកា បន្ទរ
លំបាក អ្វីខ្លះ
បានធ្វើអោយអតិផរណា ដាំក្បាលចុះ
កើតថ្ងៃ​ទី ខែកញ្ញា
ឆ្នាំ​ នៅសង្កាត់ព្រែកខ្ពប
ស្រុក​សង្កែ ខែត្រ​
បាត់ដំបង សង្គម​ខ្មែរ​បាន​ស្គាល់​នូវ​ការ​បដិវត្ត​ផ្នែក​សម្ភារៈ
