ວິທີການລ້ຽງລູກແບບຜິດໆ ທີ່ພໍ່ແມ່ຄວນຮູ້
ລວມ​ທັງ​ອົງການຈັດຕັ້ງ​ສາກົນ ທີ່​ບໍ່​ສັງກັດ​ລັດຖະ​ບານ
ຄູ່​ຮ່ວມ​ພັດທະນາອື່ນໆ ໃຫ້​ໄດ້​ຮັບ​ຜົນ​ປະໂຫຍດ​ສູງສຸດ
ສອດຄ່ອງ​ກັບ​ລະບຽບ​ຫຼັກການ ແຜນ​ພັດທະນາ​ເສດຖະ​ກິດສັງຄົມ​ແຫ່ງ​ຊາດ
ກໍ່​ຄືແຜນ​ພັດທະນາ​ຂອງ​ຂະແໜງການ ທ້ອງຖິ່ນ​ໃນ​ແຕ່​ລະ​ໄລຍະ
ເຊິ່ງ​ຜ່ານ​ມາ ສະພາບ​ການຮ່ວມ​ມືລະຫວ່າງລັດຖະບານກັບ​ອົງ​ການຈັດຕັ້ງ​ສາກົນ​ທີ່​ບໍ່​ສັງກັດ​ລັດຖະບານ
ລວມ​ທັງ​ການ​ປະຕິ​ບັດ​ດຳລັດ​ຂອງ​ນາຍົກ​ລັດ​ຖະມົນຕີ ວ່າ​ດ້ວຍ​ອົງ​ການຈັດຕັ້ງ​ສາກົນ​ທີ່​ບໍ່​ສັງກັດ​ລັດຖະບານ
ຂໍ້​ແນະນຳ​ການຈັດຕັ້ງ​ປະຕິບັດ​ດຳລັດ​ດັ່ງກ່າວ​ຂອງ​ລັດຖະມົນຕີ​ກະຊວງ​ການ​ຕ່າງປະເທດ ນອກຈາກນັ້ນ
ກໍ່​ໄດ້​ພ້ອມ​ກັນ​ພິຈາລະນາ​ປະກອບ​ຄຳ​ເຫັນ​ໃສ່​ຮ່າງ​ຂໍ້​ຕົກລົງຂອງ​ລັດຖະມົນຕີ​ກະຊວງ​ການຕ່າງປະເທດ ວ່າ​ດ້ວຍ​ລະບຽບການ​ອະນຸມັດ​ຮັບ​ເອົາ​ທຶນ​ຊັບ​ສິນ
ຊ່ຽວຊານ​ຈາກ​ຕ່າງປະເທດ ໃຫ້​ແກ່​ສະມາຄົມ
ມູນ​ນິທິຂອງ​ລາວ ສຳລັບ​ການ​ຊ່ວຍເຫຼືອ​ໃນ​ໄລຍະ​ປີ
ຮອດ​ປັດຈຸບັນ ໄດ້​ມີການ​ອະນຸມັດ
ໂຄງການ ກິດຈະກຳ
ລວມ​ມູນ​ຄ່າທັງ​ໝົດ ໂດ​ລາສະຫະລັດ
ໂດຍ​ກວມ​ເອົາ​ຫຼາຍຂະແໜງການ ເຊັ່ນ
ຂະແໜງ​ສະຫວັດ​ດີ​ການສັງຄົມ ກວມ​ເອົາປະມານ
ພັດທະນາ​ຊົນນະ​ບົດ ເກັບ​ກູ້​ລະເບີດ
ຄົນ​ພິການ ກວມ​ເອົາ​ປະມານ
ສາທາລະນະ​ສຸກ ກວມເອົາ​ປະມານ
ຂົງເຂດ​ກະສິກຳ ກວມ​ເອົາ​ປະມານ
ໃນ​ປັດຈຸບັນ ອົງການ
ທີ່​ໄດ້​ຮັບ​ອະນຸມັດ​ມາ​ປະຕິບັດ​ງານ​ຢູ່ ພວມ​ຈັດ​ຕັ້ງ​ປະຕິບັດ​ໂຄງການ​ຢູ່​ໃນ​ທົ່ວ​ປະເທດ
ການເຈລະຈາກ່ຽວກັບ ອາດຈະເລີ່ມຕົ້ນແຕ່ວັນທີ
ຫົວໜ້າຄະນະເຈລະຈາຂອງສະຫະພາບ ເອີລົບ
ກ່ຽວກັບເລື່ອງ ອັງກິດ
ຖອນອອກຈາກ ຫຼືເອີ້ນວ່າ
ຄາດວ່າ ຈະເລີ່ມຕົ້ນບັນດາການເຈລະຈາກ່ຽວກັບ
ໃນວັນທີ ມີຖຸນາ
ຈະມາເຖິງ ພາຍຫລັງການເລືອກຕັ້ງສະພາແຫ່ງຊາດຢູ່
ອັງກິດ ເປັນເວລາ
ຕາມໜັງສືພິມຜູ້ປົກປ້ອງ ອັງກິດ
ວັນທີ ມີຖຸນາ
ຈະພົບປະກັບທ່ານ ລັດຖະມົນຕີຮັບຜິດຊອບການເຈລະຈາ
ອັງກິດ ເພື່ອປຶກສາຫາລືບັນດາມາດຕະການ
ຮຽກຮ້ອງແບ່ງແຍກບັນດາການເຈລະຈາອອກເປັນ ໄລຍະໃນ
ອາທິດ ໜຶ່ງໄລຍະຈະເຈລະຈາໜຶ່ງບັນຫາຫຼັກແຫຼ່ງ
ກ່ອນໜ້ານັ້ນ ວັນທີ
ທີ່ກອງປະຊຸມສຸດຍອດຢູ່ ບຣຸກແຊນການນຳບັນດາປະເທດ
ໄດ້ຮັບຮອງເອົາຍຸດທະສາດເຈລະຈາ ຕາມນັ້ນແລ້ວ
ກ່ອນອື່ນໝົດຄວນແກ້ໄຂບັນດາບັນຫາພື້ນຖານທີ່ກ່ຽວຂ້ອງເຖິງ ຫລັງຈາກນັ້ນ
ປຶກສາຫາລືການພົວພັນຄູ່ຮ່ວມມືໃນອະນາຄົດ ວິວັດການເຈລະຈາຈະແກ່ຍາວເປັນເວລາ
ຈໍານວນຜູ້ເສຍຊີວິດຈາກເຫດການແຜ່ນດິນໄຫວລະດັບ ແມັກນິຈູດທີ່ພູມິພາກຄັນໄຊ
ເຊິ່ງມີສູນກາງໃກ້ກັບແຂວງໂອຊາກາເພີ່ມຈາກ ມີຜູ້ໄດ້ຮັບບາດເຈັບຫຼາຍກວ່າ
ທາງດ້ານລັດຖະບານເຕືອນປະຊາຊົນໃນພື້ນທີ່ພ້ອມຮັບມືກັບປະກົດການດິນຖະລົ່ມ ໃນວັນທີ
ມິຖຸນາ ສຳນັກຂ່າວຕ່າງປະເທດຈາກນະຄອນໂຕກຽວ
ປະເທດຍີ່ປຸ່ນ ລາຍງານວ່າ
ໂຍຊິຮິເດະ ເລຂາທິການຄະນະລັດຖະມົນຕີຍີ່ປຸ່ນກ່າວວ່າ
ຈໍານວນຜູ້ເສຍຊີວິດຈາກເຫດການແຜ່ນດິນໄຫວທີ່ພູມິພາກຄັນໄຊເພິ່ມເປັນຢ່າງໜ້ອຍ ເປັນຊາຍອາຍຸ
ປະມານ ໜຶ່ງໃນນັ້ນແມ່ນເດັກນ້ອຍຍິງອາຍຸ
ສ່ວນສະຖິຕິຜູ້ບາດເຈັບຕອນນີ້ຢູ່ທີ່ປະມານ ຍັງໄດ້ເຜີຍວ່າ
ຍັງບໍ່ໄດ້ຮັບແຈ້ງຜູ້ເສຍຫາຍ ແຕ່ເຈົ້າໜ້າທີ່ກໍຍັງມີການເຂົ້າກວດສອບພື້ນທີ່ຢ່າງລະອຽດ
ທັງນີ້ ພະນັກງານຂອງການໄຟຟ້າ
ກໍາລັງເລັ່ງມືສ້ອມແປງລະບົບສາທາລານຸປະໂພກທີ່ໄດ້ຮັບຄວາມເສຍຫາຍຈາກໄພພິບັດຄັ້ງນີ້ ຢ່າງໃດກໍດີ
ສຳນັກງານອຸຕຸນິຍົມວິທະຍາຍີ່ປຸ່ນ ເຈເອັມເອ
ກໍໄດ້ອອກປະກາດເຕືອນໃຫ້ປະຊາຊົນເຊິ່ງອາໄສຢູ່ໃນພື້ນທີ່ປະສົບໄພເພີ່ມຄວາມລະມັດລະວັງການເກີດດິນຖະລົ່ມ ຫຼັງພະຍາກອນການເກີດພາຍຸຝົນໃນແຂວງໂອຊາກ້າ
ພື້ນທີ່ໃກ້ຄຽງໃນລະຫວ່າງວັນອັງຄານ ວັນພຸດນີ້
ກອງປະຊຸມສ້າງແຜນກໍານົດ ພະນັກງານນໍາພາ
ຄຸ້ມຄອງ ຂັ້ນສູນກາງ
ຄຸ້ມຄອງ ແຂວງບໍລິຄໍາໄຊ
ກອງປະຊຸມສ້າງແຜນກໍານົດ ພະນັກງານນໍາພາ
ຄຸ້ມຄອງ ຂັ້ນສູນກາງ
ຄຸ້ມຄອງ ແຂວງບໍລິຄໍາໄຊ
ກອງປະຊຸມສ້າງແຜນກໍານົດ ພະນັກງານນໍາພາ
ຄຸ້ມຄອງ ຂັ້ນສູນກາງຄຸ້ມຄອງ
ບໍລິຄໍາໄຊ ໄດ້ຈັດຂຶ້ນໃນຕອນເຊົ້າວັນທີີ
ກໍລະກົດ ຜ່ານມາ
ຢູ່ທີ່ ສະໂມສອນແຂວງ
ບໍລິຄໍາໄຊ ພາຍໃຕ້ການເປັນປະທານຂອງ
ກອງແກ້ວ ໄຊສົງຄາມ
ກໍາມະການສູນກາງພັກ ເລຂາພັກແຂວງ
ເຈົ້າ ບໍລິຄໍາໄຊ
ວັນໄຊ ພອງສະຫວັນ
ຮອງເລຂາຄະນະພັກ ຮອງຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງພັກ
ມີບັນດາຄະນະປະຈໍາພັກແຂວງ ກໍາມະການພັກແຂວງ
ຫົວໜ້າ ພພະແນກການ
ພະນັກງານຫຼັກແຫຼ່ງຂັ້ນແຂວງ ເມືອງເຂົ້າຮ່ວມ
ຫນ້າທາງການ ຄືນ​ທີ່​ຢູ່​ລອດ​ແລະ​ເສັ້ນ​ທາງ
ງານບຸນຍິງບັ້ງໄຟດອກສາກົນດ່ານັ້ງ ຈະດຳເນີນໃນຮອບເວລາ
ເດືອນ ງານບຸນຍິງບັ້ງໄຟດອກສາກົນດ່ານັ້ງ
ດ້ວຍຫົວຂໍ້ວ່າ ເທບນິຍາຍຂົວຕ່າງໆ
ຈະດຳເນີນໃນລະຫວ່າງວັນທີ ຫາວັນທີ
ມິຖຸນາ ເຂົ້າຮ່ວມງານບຸນຍິງບັ້ງໄຟດອກສາກົນດ່ານັ້ງ
ເຊິ່ງຕາງໜ້າໃຫ້ ປະເທດທີ່ມາຈາກບັນດາທະວີບ
ມາດຖານຕີລາຄາການຍິງບັ້ງໄຟດອກຂອງບັນດາທິມເຂົ້າຮ່ວມງານບຸນ ແມ່ນອີ່ງໃສ່ແນວຄວາມຄິດ
ຄວາມເປັນຫຼາຍຮູບຫຼາຍສີ ຫົວຂໍ້
ຄວາມອຸດົມສົມບູນ ມີສີສັນຫຼາກຫຼາຍ
ສະຖານທີ່ຍິງບັ້ງໄຟດອກແມ່ນຢູ່ບໍລິເວນທ່າກ່ຳປັ່ນແມ່ນ້ຳຮ່ານ ກອງປະຊຸມສະໄໝສາມັນ
ເທື່ອທີ ຂອງສະພາແຫ່ງຊາດ
ຊຸດທີ ໄຂຂຶ້ນຢ່າງເປັນທາງການ
ລາວໂພສຕ໌ ໜ້າທຳອິດ
ຂ່າວໜ້າໜຶ່ງ ກອງປະຊຸມສະໄໝສາມັນ
ເທື່ອທີ ຂອງສະພາແຫ່ງຊາດ
ຊຸດທີ ໄຂຂຶ້ນຢ່າງເປັນທາງການ
ກອງປະຊຸມສະໄໝສາມັນ ເທື່ອທີ
ຂອງສະພາແຫ່ງຊາດ ຊຸດທີ
ໄຂຂຶ້ນຢ່າງເປັນທາງການ ສຳນັກຂ່າວສານປະເທດລາວລາຍງານເມື່ອວັນທີ
ມິຖຸນາ ກອງປະຊຸມສະໄໝສາມັນເທື່ອທີ
ຂອງສະພາແຫ່ງຊາດ ຊຸດທີ
ໄດ້ໄຂຂຶ້ນຢ່າງເປັນທາງການ ໃນຕອນເຊົ້າວັນທີ
ມິຖຸນາ ທີ່ຫ້ອງປະຊຸມສະພາແຫ່ງຊາດ
ນະຄອນຫລວງວຽງຈັນ ໂດຍການເຂົ້າຮ່ວມຂອງການນໍາພັກລັດຂັ້ນສູງ
ສະມາຊິກສະພາແຫ່ງຊາດທົ່ວປະເທດ ພາກສ່ວນຕ່າງໆ
ທີ່ກ່ຽວຂ້ອງ ກອງປະຊຸມສະໄໝສາມັນ
ເທື່ອທີ ຂອງສະພາແຫ່ງຊາດ
ຊຸດທີ ຈະດໍາເນີນໄປເຖິງ
ວັນທີ ມິຖຸນາ
ເຊິ່ງຈະໃຊ້ເວລາດໍາເນີນກອງປະຊຸມທັງໝົດ ໃນໄລຍະດຳເນີນກອງປະຊຸມສະພາແຫ່ງຊາດ
ຄະນະເລຂາທິການສະພາແຫ່ງຊາດ ໄດ້ຈັດຕັ້ງໜ່ວຍງານຮັບຜິດຊອບໂທລະສັບສາຍດ່ວນ
ເພື່ອຮັບເອົາຄຳຄິດຄຳເຫັນ ຄໍາສະເໜີໂດຍກົງ
ຈາກປະຊາຊົນ ທີ່ຈະສົ່ງໄປຍັງກອງປະຊຸມ
ເຊິ່ງສາມາດສົ່ງຄຳຄິດຄຳເຫັນ ຄຳສະເໜີ
ໄປຍັງກອງປະຊຸມຜ່ານ ໂທລະສັບສາຍດວ່ນ
ໂທລະສານ ໝາຍເລກ
ສົ່ງເປັນຈົດໝາຍທາງໄປສະນີ ສົ່ງອີເມວ
ສະພາແຫ່ງຊາດ ຊຸດທີ
ສະບາຍດີເມືອງລາວ ກິດຈະກຳການໂຕ້ວາທີໃນງານສັບປະດາ
ຂັບຂີ່ປອດໄພ ສະບາຍດີເມືອງລາວ
ອົງການກາແດງລາວເປີດກອງປະຊຸມດຳເນີນຊີວິດການເມືອງ ສະບາຍດີເມືອງລາວ
ໂຮງຮຽນມັດທະຍົມສົມບູບ ນາບໍ່
ເມືອງເຊໂປນຝຶກແອບວິຊາປ້ອງກັນຕົວ ສະບາຍດີເມືອງລາວ
ພິທີຈູດທຳລາຍຊິ້ນສັດປ່າ ທີ່ຢຶດໄດ້ຈາກຜູ້ລັກລອບຊື້ຂາຍແບບຜິດກົດໝາຍ
ສະບາຍດີເມືອງລາວ ບ້ານໂພສີ
ສບສານສົ່ງເສີ່ມທາງດ້ານພຸດທະສາດສະໜາປີທີ ສະບາຍດີເມືອງລາວ
ເຈົ້າແຂວງ ແຂວງບໍລິຄຳໄຊ
ພ້ອມດ້ວຍຄະນະຕ້ອນຮັບຄະນະເລຂາທິການສູນກາງພັກ ສະບາຍດີເມືອງລາວ
ພະແນກໂຍທາທິການ ຂົນສົ່ງເຊກອງຕີລາຄາຄືນວຽກງານຊາວໜຸ່ມ
ສະບາຍດີເມືອງລາວ ນາຍົກລັດຖະມົນຕີ
ເຂົ້າຮ່ວມກອງປະຊຸມເວທີປຶກສາຫາລືເສດຖະກິດໂລກ ໃນວັນທີ
ພະຈິກ ບໍລິສັດ
ລ້ານຊ້າງ ມີເນີໂຣນສ
ຈຳກັດ ບໍ່ຄຳທອງເຊໂປນ
ໄດ້ມອບອຸປະກອນການແພດ​ກູ້​ຊີບກູ້​ໄພ ມູນຄ່າຫລາຍກວ່າ
ລ້ານກີບ ໃຫ້ແກ່ມູນນິທິອາສາຊ່ວຍເຫລືອ
ຜູ້ປະສົບໄພ ສະຫວັນນະເຂດ
ເພື່ອເປັນການສົ່ງເສີມຄວາມປອດໄພທາງຖະໜົນ ​ເຊິ່ງອຸປະກອນດັ່ງກ່າວປະກອບມີ
ສະເຕເຊີຕຽງລົດສຸກເສີນ ຖັງອົກຊີແຊນ
ກະ​ເປົາ​ເຄື່ອງ​ປະ​ຖົມ​ພະ​ຍາ​ບານ ເຄື່ອງດູດສະເລດ
ໝວກກັນກະທົບ ສະໝານ
ອະເນກາ ຜູ້ອຳນວຍການ
ຜູ້ຈັດການ ພົວພັນກັບຜູ້ມີສ່ວນຮ່ວມຂອງ
ກ່າວວ່າ ​ການ​ປະ​ກອບ​ສ່ວນຊ່ວຍເຫລືອໜ່ວຍກູ້ໄພ
ສະຫວັນນະເຂດໃນຄັ້ງນີ້ ເປັນການປະກອບສ່ວນ
ເພື່ອຊ່ວຍຮັກ​ສາ​ຊີ​ວິດ​ໃນ​ເຫດ​ການ​ສຸກ​ເສີນ ໃນ​ໄລ​ຍະຜ່ານມາ
ໄດ້ໃຫ້ການສະໜັບສະໜູນດ້ານການເງິນແກ່ ​ໜ່ວຍກູ້ໄພດັ່ງກ່າວ
ລວມທັງໜ່ວຍກູ້ໄພຢູ່ນະຄອນຫລວງວຽງຈັນ ນອກຈາກນີ້
ຍັງໄດ້ມອບລົດພະຍາບານ ອຸປະກອນການແພດທີ່ຈໍາເປັນ
ຈຳ​ນວນ​ໜຶ່ງໃຫ້ແກ່ໂຮງໝໍ ແຂວງສະຫວັນນະເຂດ
ໂຮງໝໍເມືອງວິລະບູລີ ບັນດາສຸກສາລາຢູ່ເຂດຫ່າງໄກສອກຫລີກນຳອີກ
ທ່ານຜູ້ອຳນວຍການ ​ໄດ້ກ່າວອີກວ່າ
ພວກເຮົາຄິດເຖິງຄວາມປອດໄພເປັນສິ່ງທຳອິດ ການບໍລິຈາກຄັ້ງນີ້
ແມ່ນເປັນສ່ວນໜຶ່ງໃນ​ຄວາມມຸ່ງໝັ້ນຂອງບໍລິສັດ ທີ່​ຈະ​ສືບ​ຕໍ່ຊ່ວຍ​ເຫລືອເພື່ອປັບປຸງການບໍລິການ
ດ້ານສາ​ທາ​ລະ​ນະ​ສຸກ ໃຫ້​ແກ່ຊຸມຊົນອ້ອມຂ້າງ
ບໍ່ຄຳທອງເຊໂປນ ພາຍໃນແຂວງສະຫວັນນະເຂດ
ເນື້ອໃນ ທີມແພດ
ທຳການຜ່າຕັດໃຫ່ຍ ຈາກບາດແຜໄຟໄໝ້
ນ້ຳຮ້ອນລວກ ກະຊວງສາທາລະນະສຸກແຈ້ງກວດຄືນບັນດາ
ຫ້ອງກວດ ພະຍາດເອກະຊົນ
ກະຊວງສາທາ ຮຽກຮ້ອງໃຫ້
ບໍລິສັດ ປະຕິບັດຕາມກົດໝາຍ
ຄວບຄຸມຢາສູບ ອົດສະຕຣາລີນີວຊີແລນ
ຊ່ວຍຜ່າຕັດ ປົວແປງບາດ
ການປິ່ນປົວ ແຜຈາກໄຟໄໝ້
ນ້ຳຮ້ອນລວກ ໂດຍບໍ່ເສຍຄ່າ
ເຈົ້າ​ເຂົ້າ​ໃຈ​ບໍ່ ກ່ຽວກັບ
ຕິດຕໍ່ພວກເຮົາ ພະແນກ
ນະຄອນຫຼວງວຽງຈັນ ພະແນກ
ແຂວງອຸດົມໄຊ ພະແນກ
ບໍ່ແກ້ວ ພະແນກ
ຈໍາປາສັກ ພະແນກ
ສະຫວັນນະເຂດ ພະແນກ
ໄຊຍະບູລີ ພະແນກ
ວຽງຈັນ ພະແນກ
ຫົວພັນ ກະຊວງ
ສຶກສາທິການ ກະຊວງ
ອຸດສາຫະກຳ ການຄ້າ
ກະຊວງ ຊັບພະຍາກອນທຳມະຊາດ
ສິ່ງແວດລ້ອມ ກະຊວງ
ກະສິກຳ ປ່າໄມ້
ກະຊວງ ແຜນການ
ການລົງທຶນ ກະຊວງ
ແຮງງານ ສະຫວັດດີການສັງຄົມ
ກະຊວງ ວິທະຍາສາດ
ເຕັກໂນໂລຊີ ກະຊວງ
ຖະແຫຼງຂ່າວ ວັດທະນະທຳ
ການທ່ອງທ່ຽວ ກະຊວງ
ປ້ອງກັນປະເທດ ທ່ານສາມາດດາວໂຫຼດ
ບົດສະເຫນີຂອງ ກອງປະຊຸມສຳມະນາ
ການຫັນເປັນທັນສະໄໝ ທາງດ້ານດິຈິຕອນໃນ
ຄັ້ງວັນທີ ທັນວາ
ຂະແໜງ ໄປສະນີ
ໂທລະຄົມມະນາຄົມ ການສື່ສານ
ວິໃສທັດແຜນຍຸດທະສາດ ແຜນການ
ຄັ້ງທີ ສະບັບລ່າສຸດ
ເມື່ອບໍ່ດົນມານີ້ ປະສິດ
ສີສົມບຸນ ຮອງກົມໄປສະນີ
ກະຊວງ ໄປສະນີ
ໂທລະຄົມມະນາຄົມ ການສື່ສານ
ພ້ອມດ້ວຍຄະນະ ໄດ້ສໍາເລັດການເຂົ້າຮ່ວມກອງປະຊຸມ
ປືກສາຫາລືກັນໃນການກຽມຄວາມພ້ອມຮັບໃຊ້ການຄ້າເອເລັກໂຕຼນິກ ຂອງໄປສະນີ
ທີ່ສຳນັກງານໃຫຍ່ຂອງ ບາງກອກ
ປະເທດໄທ ພາຍໃຕ້ການຊີ້ນຳຂອງ
ມີຄະນະຜູ້ແທນຈາກ ປະເທດສະມາຊິກພາກພື້ນອາຊີປາຊີຟິກເຂົ້າຮ່ວມ
ກອງປະຊຸມຄັ້ງນີ້ແມ່ນຈັດຂຶ້ນເປັນປີທີ່ ຊຶ່ງໄດ້ດຳເນີນການມາແຕ່ປີ
ຈະສີ້ນສຸດໃນປີ ເປັນໂຄງການຂອງສະຫະພາບໄປສະນີສາກົນ
ໃນການຊຸກຍູ້ໃຫ້ບັນດາປະເທດສະມາຊິກ ຫັນໂຕເອງໄປສູ່ການບໍລິການອີຄອມເມີສ
ທີ່ກຳລັງຂະຫຍາຍຕົວສູງຂື້ນ ໃນຫົວຂໍ້
ການຮ່ວມມືລະຫວ່າງຂະແໜງການໄປສະນີ ກັບສະມາຄົມຂົນສົ່ງທາງອາກາດສາກົນ
ເພື່ອເຮັດ ໃຫ້ການຂົນສົ່ງສິນຄ້າອີຄອມເມີສຂອງໄປສະນີມີຄວາມສະດວກວ່ອງໄວ
ມີຄວາມປອດໄພສູງຂື້ນ ພ້ອມນີ້
ກໍ່ເພື່ອເປັນການລາຍງານຄືນສະພາບຄວາມຄືບໜ້າໃນການຈັດຕັ້ງເຄື່ອນໄຫວໂຄງການດັ່ງກ່າວ ຂອງບັນດາປະເທດໃນພາກພື້ນອາຊີປາຊີຟິກ
ຂອບການຮ່ວມມືລະຫວ່າງ ໃນການແລກປ່ຽນຂໍ້ມູນຊື່ງກັນ
ແຜນການດຳເນີນຈັດຕັ້ງໂຄງການຂອງບັນດາປະເທດສະມາຊິກໃນຕໍ່ໜ້າ ສຳລັບບໍລິສັດລັດວິສະຫະກິດໄປສະນີລາວ
ກໍ່ໄດ້ເຂົ້າຮ່ວມໂຄງການຕັ້ງແຕ່ປີ ໄດ້ເລີ່ມປະຕິບັດໜ້າວຽກໂຄງການ
ໃນໄຕມາດທີ່ ສໍາເລັດແລ້ວ
ເຊັ່ນ ການຊ່ວຍເຫຼືອຈາກ
ໃນການປ່ຽນລະບົບຕິດຕາມແຈກຍາຍເຄື່ອງຝາກຈາກລະບົບ ໄປເປັນ
ພ້ອມກັນນັ້ນ ກໍໄດ້ຮັບການຊ່ວຍເຫຼືອໃນການຝືກອົບຮົມໃຫ້
ກ່ຽວກັບລະບົບການຂົນສົ່ງ ໂດຍໄດ້ຈັດຂື້ນໃນທ້າຍເດືອນ
ກໍລະກົດ ຜ່ານມານີ້
ນອກນັ້ນ ກໍ່ໄດ້ຮັບການຊ່ວຍເຫຼືອລົດຕູ້
ເພື່ອໃຊ້ເຂົ້າໃນການແຈກຍາຍຖົງເມຈາກ ຄັນເປັນລົດຕູ້ສຳລັບໃຊ້ເຂົ້າໃນວຽກບໍລິຫານ
ໄດ້ມີການສົ່ງມອບກັນໃນທ້າຍປີ ລວມເປັນທັງໝົດ
ກົມໄປສະນີ ກວດແກ້
ຫ້ອງການກະຊວງ ຂະແໜງ
ໄປສະນີ ໂທລະຄົມມະນາຄົມ
ການສື່ສານ ເຂົ້າສູ່ລະບົບ
ສະຫງວນລິຂະສິດ ກະຊວງໄປສະນີ
ໂທລະຄົມມະນາຄົມ ແລະການສື່ສານ
ຖະໜົນລ້ານຊ້າງ ນະຄອນຫຼວງວຽງຈັນ
ວັນອັງຄານ ທັນວາ
ຂ່າວປະຈໍາວັນ ໃນວັນທີ
ກຸມພາ ຢູ່ນະຄອນຫລວງ​ວຽງຈັນ
ສະເຫລີມໄຊ ມະສິດ
ລັດຖະມົນຕີ ກະຊວງການຕ່າງປະເທດ
ໄດ້ຕ້ອນຮັບ ການເຂົ້າຢ້ຽມຂ່ຳນັບ
ຄະນະຜູ້ແທນ ລັດຖະສະພາ
ສະຫະລັດອາເມລິກາ ນຳໂດຍທ່ານ
ປະທານ ກຳມາທິ
ການຈັດສັນງົບປະມານ ໃນໂອກາດເດີນທາງ
ມາເຄື່ອນໄຫວຢ້ຽມຢາມ ລະຫວ່າງ
ວັນທີ ກຸມພາ
ຕາມການລາຍງານຂອງສຳນັກຂ່າວສານປະເທດລາວ ໃນໂອກາດດັ່ງກ່າວ
ສະເຫລີມໄຊ ກົມມະສິດ
ໄດ້ສະແດງຄວາມຍິນດີ ຕ້ອນຮັບ
ອັນອົບອຸ່ນ ຕີລາຄາສູງ
ຕໍ່ການຢ້ຽມຢາມ ຄັ້ງທຳອິດ
ຂອງຄະນະຜູ້ແທນ ລັດຖະສະພາສະຫະລັດອາເມລິກາ
ຊຶ່ງເປັນໂອກາດທີ່ສຳຄັນ ໃນການປຶກສາຫາລື
ຊອກຊ່ອງທາງ ເພື່ອຊຸກຍູ້
ເພີ່ມທະວີ ການພົວພັນ
ຮ່ວມມື ສອງຝ່າຍ
ໂດຍສະເພາະ ໃນວຽກງານ
ນິຕິບັນຍັດ ສອງປະເທດ
ໃນຕໍ່ໜ້າ ສອງຝ່າຍ
ໄດ້ມີຄວາມເຫັນທີ່ກົງກັນ ໃນການທີ່ຈະສ້າງ
ຄວາມພະຍາຍາມ ຮ່ວມກັນຕໍ່ໄປຂ້າງໜ້າ
ໃນການຮ່ວມມື ໃນດ້ານຕ່າງໆ
ທີ່ມີຜົນປະໂຫຍດ ແກ່ປະຊາຊົນ
ທັງສອງປະເທດ ໃນໂອກາດນີ້
ລັດຖະມົນຕີ ກະຊວງ​ການ​ຕ່າງປະ​ເທດ
ໄດ້ຕາງໜ້າ ໃຫ້ລັດຖະບານ
ປະຊາຊົນລາວ ສະແດງຄວາມຂອບໃຈ
ໄປຍັງລັດຖະບານ ສະຫະລັດອາເມລິກາ
ທີ່ໄດ້ໃຫ້ ການຮ່ວມມື
ຊ່ວຍເຫລືອ ໃນໄລຍະຜ່ານມາ
ໂດຍສະເພາະ ວຽກງານເກັບກູ້
ລະເບີດ ບໍ່ທັນແຕກ
ການສຶກສາ ສາທາລະນະສຸກ
ການຄວບຄຸມ ປາບປາມຢາເສບຕິດ
ກໍຄືໃນດ້ານ ການບັງຄັບໃຊ້ກົດ
ອື່ນໆ ຂໍ້ມູນ
ຂ່າວສານປະເທດລາວ ຊື່ເສຍ
ສະໜັ່ນເວທີ ຊາວໂລກຮ່ວມປະນາມ
ມິສອາເມຣິກາ ຫຼັງເວົ້າຈາຢຽດນາງງາມຊາດອື່ນ
ມີບຸກຄົນຂູ່ວາງລະເບີດສຳນັກງານໃຫຍ່ ເຟສບຸກ
ຈົນຕ້ອງວຸ້ນວາຍອົບພະຍົບພະນັກງານ ມອບຮັບສິ່ງເສດເຫຼືອທະຫານອາເມລິກາທີ່ຫາຍສາບສູນໃນປາງສົງຄາມຢູ່ລາວ
ຄັ້ງທຳອິດຂອງສົກປີ ບານປາຍ
ຈີນຮຽກໂຕ ເອກອັກຄະລັດຖະທູດສະຫະລັດ
ເຂົ້າພົບດ່ວນ ປະທ້ວງເຫດຈັບກຸມ
ລູກສາວຫົວເຫວີ່ຍ ຊາຍຈີນປ່ວຍຕິດເຊື້ອຢ່າງຮຸນແຮງໃນປອດ
ຈາກການ ດົມຖົງຕີນເໝັນ
ຂອງຕົນເອງ ຊື້ຫວຍຢ່າງມີສູດ
ເຮັດແນວໃດຈຶ່ງຈະຖືກຫວຍລາງວັນໃຫຍ່ ຈົນກາຍເປັນມະຫາເສດຖີຄືຊາຍຄົນນີ້
ວອຍເອເຈີ ສິ່ງປະດິດຢ່າງທີ
ຂອງມະນຸດ ເດີນທາງຫ່າງອອກໄປ
ພົ້ນເຂດລົມສຸລິຍະແລ້ວ ກຽມຈັດຫຼາຍກິດຈະກຳ
ສະເຫຼີມສະຫຼອງ ວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນລາວ
ເຈົ້າໜ້າທີ່ບໍ່ແກ້ວພົບຊິ້ນສ່ວນສັດປ່າຜິດກົດໝາຍ ໃນຮ້ານຄ້າ
